,Rank,Title,Year,Lifetime Gross
1399,"1,400",2 Guns,2013,131940411
1400,"1,401",Asterix at the Olympic Games,2008,131856927
1401,"1,402",Coraline,2009,131788071
1402,"1,403",Save the Last Dance,2001,131706809
1403,"1,404",The House with a Clock in Its Walls,2018,131523093
1404,"1,405",Seven Years in Tibet,1997,131457682
1405,"1,406",Bewitched,2005,131426169
1406,"1,407",Blade,1998,131211411
1407,"1,408",Asterix & Obelix: Mission Cleopatra,2002,131116046
1408,"1,409",School of Rock,2003,131098967
1409,"1,410",Aliens,1986,131060248
1410,"1,411",Boomerang,1992,131052444
1411,"1,412",Wolf,1994,131002597
1412,"1,413",Munich,2005,130982407
1413,"1,414",Man on Fire,2004,130834852
1414,"1,415",Blue Beetle,2023,130788072
1415,"1,416",Secret Superstar,2017,130765691
1416,"1,417","You, Me and Dupree",2006,130628903
1417,"1,418",A Bad Moms Christmas,2017,130560428
1418,"1,419",About a Boy,2002,130549455
1419,"1,420",Cloud Atlas,2012,130516424
1420,"1,421",Raya and the Last Dragon,2021,130423032
1421,"1,422",Aliens vs. Predator: Requiem,2007,130290885
1422,"1,423",Failure to Launch,2006,130224158
1423,"1,424",Mean Girls,2004,130160481
1424,"1,425",Cheaper by the Dozen 2,2005,130154568
1425,"1,426",Jingle All the Way,1996,129832389
1426,"1,427",An Officer and a Gentleman,1982,129795890
1427,"1,428",Red Cliff,2008,129710514
1428,"1,429",Julie & Julia,2009,129540522
1429,"1,430",Resident Evil: Apocalypse,2004,129342769
1430,"1,431",Atonement,2007,129266061
1431,"1,432",Warm Hug,2020,129240236
1432,"1,433",The Fighter,2009,129190869
1433,"1,434",Pan,2015,128988320
1434,"1,435",The Woman in Black,2012,128955898
1435,"1,436",Space Cowboys,2000,128884132
1436,"1,437",The Talented Mr. Ripley,1999,128801965
1437,"1,438",The Forbidden Kingdom,2008,128792411
1438,"1,439",Pathaan,2023,128780000
1439,"1,440",The Heartbreak Kid,2007,128453183
1440,"1,441",Space Station 3D,2002,128363881
1441,"1,442",Sister,2021,128317206
1442,"1,443",Step Brothers,2008,128110601
1443,"1,444",A Perfect Murder,1998,128038368
1444,"1,445",Blended,2014,128006208
1445,"1,446",Everest,1998,127990128
1446,"1,447",Forever Young,1992,127956187
1447,"1,448",Law Abiding Citizen,2009,127944208
1448,"1,449",The Adjustment Bureau,2010,127869379
1449,"1,450",U-571,2000,127666415
1450,"1,451",First Knight,1995,127600435
1451,"1,452",Ad Astra,2019,127461872
1452,"1,453",Midway,2019,127420861
1453,"1,454",March of the Penguins,2005,127392693
1454,"1,455",Hide and Seek,2005,127369981
1455,"1,456",Predators,2010,127233108
1456,"1,457",Smokey and the Bandit,1977,126750339
1457,"1,458",Chronicle,2012,126636097
1458,"1,459",Walking with Dinosaurs 3D,2012,126546518
1459,"1,460",Parenthood,1989,126297830
1460,"1,461",L.A. Confidential,1997,126216940
1461,"1,462",Sex Tape,2014,126069509
1462,"1,463",This Is the End,2013,126041322
1463,"1,464",The King's Man,2021,125897478
1464,"1,465",The Upside,2019,125856180
1465,"1,466",Detective Chinatown,2015,125842935
1466,"1,467",Wolf Totem,2015,125837070
1467,"1,468",Mechanic: Resurrection,2016,125729635
1468,"1,469",I Know What You Did Last Summer,1997,125586134
1469,"1,470",Ender's Game,2013,125544024
1470,"1,471",Happy Death Day,2017,125479266
1471,"1,472",Captain Underpants: The First Epic Movie,2017,125427681
1472,"1,473",First Blood,1982,125212904
1473,"1,474",Rocky III,1982,125052898
1474,"1,475",The Queen,2006,124925340
1475,"1,476","Legally Blonde 2: Red, White & Blonde",2003,124914842
1476,"1,477",Donnie Brasco,1997,124909762
1477,"1,478",The Family Man,2000,124745083
1478,"1,479",Ride Along 2,2015,124608438
1479,"1,480",The Thomas Crown Affair,1999,124305181
1480,"1,481",Ray,2004,123971376
1481,"1,482","Good Morning, Vietnam",1987,123922578
1482,"1,483",The Lego Ninjago Movie,2017,123764177
1483,"1,484",The Time Machine,2002,123729176
1484,"1,485",The Theory of Everything,2014,123726688
1485,"1,486",Last Christmas,2019,123446172
1486,"1,487",The Wedding Singer,1998,123307685
1487,"1,488",Nanny McPhee,2005,123276807
1488,"1,489",Big Fish,2003,123235422
1489,"1,490",The Curse of La Llorona,2019,123233739
1490,"1,491",The Pirates! Band of Misfits,2012,123069765
1491,"1,492",Looking Up,2019,122994583
1492,"1,493",Volcano,1997,122823468
1493,"1,494",Zombieland: Double Tap,2019,122810399
1494,"1,495",Magic Mike XXL,2015,122613057
1495,"1,496",Dragon Blade,2015,122606884
1496,"1,497",Spirit: Stallion of the Cimarron,2002,122563539
1497,"1,498",Surrogates,2009,122444772
1498,"1,499",Invictus,2009,122426792
1499,"1,500",Mousehunt,1997,122417389
1500,"1,501",A Haunting in Venice,2023,122290456
1501,"1,502",Mortal Kombat,1995,122195920
1502,"1,503",Prisoners,2013,122127446
1503,"1,504",Gran Turismo,2023,122101055
1504,"1,505",Soul,2020,121977511
1505,"1,506",Peter Pan,2003,121975011
1506,"1,507",Executive Decision,1996,121969216
1507,"1,508",Pinocchio,1940,121892045
1508,"1,509",Deepwater Horizon,2016,121790373
1509,"1,510",Pride & Prejudice,2005,121616555
1510,"1,511",Starship Troopers,1997,121214377
1511,"1,512",Bajrangi Bhaijaan,2015,121126188
1512,"1,513",Instant Family,2018,120989830
1513,"1,514",The Nut Job,2014,120885527
1514,"1,515",Intolerable Cruelty,2003,120802239
1515,"1,516",Apocalypto,2006,120654337
1516,"1,517",Dora and the Lost City of Gold,2019,120597108
1517,"1,518",Eight Below,2006,120455994
1518,"1,519",Red Cliff II,2009,120432178
1519,"1,520",Lethal Weapon,1987,120207127
1520,"1,521",The Pianist,2002,120098237
1521,"1,522",We Bought a Zoo,2011,120081841
1522,"1,523",The Omen,2006,119975084
1523,"1,524",Rocky V,1990,119946358
1524,"1,525",The Commuter,2017,119942434
1525,"1,526",Extreme Job,2019,119932733
1526,"1,527",The Addams Family 2,2021,119815153
1527,"1,528",Parental Guidance,2012,119772232
1528,"1,529",Road Trip,2000,119754278
1529,"1,530",Spy Kids 2: Island of Lost Dreams,2002,119723358
1530,"1,531",Michael,1996,119718203
1531,"1,532",Blazing Saddles,1974,119618907
1532,"1,533",Wonder Park,2019,119559110
1533,"1,534",Allied,2016,119520023
1534,"1,535",Charlie Wilson's War,2007,119483446
1535,"1,536",Fried Green Tomatoes,1991,119418501
1536,"1,537",On Golden Pond,1981,119285810
1537,"1,538",Sahara,2005,119240351
1538,"1,539",Beverly Hills Cop III,1994,119208989
1539,"1,540",Unfaithful,2002,119137784
1540,"1,541",I Belonged to You,2016,119107580
1541,"1,542",The Shallows,2016,119100758
1542,"1,543",Forever Young,2017,119055731
1543,"1,544",Final Destination 3,2006,118890272
1544,"1,545",Message in a Bottle,1999,118880016
1545,"1,546",Hankyu Railways - A 15-minute Miracle,2011,118799256
1546,"1,547",Lost in Translation,2003,118688756
1547,"1,548",The Purge: Election Year,2016,118587880
1548,"1,549",The Notebook,2004,118262017
1549,"1,550",Beethoven's 2nd,1993,118243066
1550,"1,551",A Cool Fish,2018,118153135
1551,"1,552",Corpse Bride,2005,118133252
1552,"1,553",Disturbia,2007,118114220
1553,"1,554",Why Him?,2016,118102725
1554,"1,555",Star Trek: Generations,1994,118071125
1555,"1,556",The Saint,1997,118063304
1556,"1,557",P Storm,2019,117991727
1557,"1,558",Saving Mr. Banks,2013,117867984
1558,"1,559",Pompeii,2014,117831631
1559,"1,560",Game Night,2018,117768230
1560,"1,561",Blue Streak,1999,117758500
1561,"1,562",The Client,1994,117615211
1562,"1,563",The Forgotten,2004,117592831
1563,"1,564",A Knight's Tale,2001,117487481
1564,"1,565",Haunted Mansion,2023,117449790
1565,"1,566",Dennis the Menace,1993,117270765
1566,"1,567",Hotel for Dogs,2009,117252578
1567,"1,568",Rocky,1976,117251948
1568,"1,569",Paycheck,2003,117248958
1569,"1,570",Water for Elephants,2011,117094902
1570,"1,571",Warm Bodies,2013,116980662
1571,"1,572",Ghostbusters: Frozen Empire,2024,116856978
1572,"1,573",Barnyard,2006,116755080
1573,"1,574",My Love,2021,116720921
1574,"1,575",The Siege,1998,116672912
1575,"1,576",Finding Neverland,2004,116650613
1576,"1,577",Freddy vs. Jason,2003,116643421
1577,"1,578",Abraham Lincoln: Vampire Hunter,2012,116471580
1578,"1,579",Sliver,1993,116300000
1579,"1,580",Personal Tailor,2013,116126458
1580,"1,581",Casino,1995,116112375
1581,"1,582",Poor Things,2023,116016403
1582,"1,583",The Towering Inferno,1974,116000429
1583,"1,584",Body of Lies,2008,115900897
1584,"1,585",The Chronicles of Riddick,2004,115900534
1585,"1,586",The Iron Lady,2011,115890792
1586,"1,587",Dragon Ball Super: Broly,2018,115750445
1587,"1,588",A Nightmare on Elm Street,2010,115695339
1588,"1,589",Pitch Perfect,2012,115647737
1589,"1,590",The Rocky Horror Picture Show,1975,115630976
1590,"1,591",Closer,2004,115518219
1591,"1,592",Detective Conan: The Fist of Blue Sapphire,2019,115448200
1592,"1,593",Bride Wars,2009,115375850
1593,"1,594",We Were Soldiers,2002,115374915
1594,"1,595",DragonHeart,1996,115267375
1595,"1,596",The Blues Brothers,1980,115229890
1596,"1,597",The Gentlemen,2019,115175729
1597,"1,598",Return to Never Land,2002,115121981
1598,"1,599",The Karate Kid Part II,1986,115103979
1599,"1,600",Get Shorty,1995,115101622
1600,"1,601",The Monkey King 3,2018,115084576
1601,"1,602",Snow Dogs,2002,115035090
1602,"1,603",American Graffiti,1973,115006578
1603,"1,604",Dear John,2010,114991723
1604,"1,605",So Young,2013,114926694
1605,"1,606",The Lake House,2006,114830111
1606,"1,607",Godzilla Minus One,2023,114809252
1607,"1,608",Book of Love,2016,114679097
1608,"1,609",Office Christmas Party,2016,114501299
1609,"1,610",Hope Springs,2012,114281051
1610,"1,611",Step Up,2006,114197742
1611,"1,612",Seventh Son,2014,114178613
1612,"1,613",Anna and the King,1999,113996937
1613,"1,614",Coyote Ugly,2000,113916474
1614,"1,615",Saw V,2008,113864059
1615,"1,616",Insomnia,2002,113758770
1616,"1,617",The Score,2001,113579918
1617,"1,618",Judge Dredd,1995,113493481
1618,"1,619",Changeling,2008,113398237
1619,"1,620",Green Zone,2009,113377594
1620,"1,621",Species,1995,113374103
1621,"1,622",Striptease,1996,113309743
1622,"1,623",Rambo,2008,113244290
1623,"1,624",The Dark Tower,2017,113231078
1624,"1,625",A Man Called Otto,2022,113190218
1625,"1,626",Pet Sematary,2019,113118226
1626,"1,627",White Chicks,2004,113100873
1627,"1,628",Insidious: Chapter 3,2015,112983889
1628,"1,629",Final Destination,2000,112880294
1629,"1,630",Star Trek: Insurrection,1998,112587658
1630,"1,631",How to Be Single,2016,112543513
1631,"1,632",Cats & Dogs: The Revenge of Kitty Galore,2010,112483764
1632,"1,633",Tooth Fairy,2010,112462508
1633,"1,634",Boonie Bears: Blast Into the Past,2019,112367881
1634,"1,635",Frankenstein,1994,112006296
1635,"1,636",The Purge: Anarchy,2014,111928365
1636,"1,637",Doctor Zhivago,1965,111922825
1637,"1,638","Dad, Where Are We Going?",2014,111870000
1638,"1,639",Saw X,2023,111823047
1639,"1,640",Get Hard,2015,111811453
1640,"1,641",Underworld: Evolution,2006,111476513
1641,"1,642",Porky's,1982,111289673
1642,"1,643",Fool's Gold,2008,111231041
1643,"1,644",Good Boys,2019,111173598
1644,"1,645",The Call of the Wild,2020,111166669
1645,"1,646",The Dukes of Hazzard,2005,111069515
1646,"1,647","Lyle, Lyle, Crocodile",2022,110999085
1647,"1,648",The Secret of My Success,1987,110996879
1648,"1,649",Mission to Mars,2000,110983407
1649,"1,650",Sea of Love,1989,110879513
1650,"1,651",The Santa Clause 3: The Escape Clause,2006,110768122
1651,"1,652",The Net,1995,110627965
1652,"1,653",The Peacemaker,1997,110463140
1653,"1,654",Free Birds,2013,110387072
1654,"1,655",The Kid,2000,110317580
1655,"1,656",10 Cloverfield Lane,2016,110216998
1656,"1,657",Moneyball,2011,110206216
1657,"1,658",Buddies in India,2017,110155128
1658,"1,659",The Man from U.N.C.L.E.,2015,110045109
1659,"1,660",Treasure Planet,2002,110041363
1660,"1,661",Hoodwinked!,2005,110013167
1661,"1,662",The 5th Wave,2015,109906372
1662,"1,663",Star Trek IV: The Voyage Home,1986,109713132
1663,"1,664",Sideways,2004,109706931
1664,"1,665",The Prestige,2006,109676311
1665,"1,666",Leap!,2016,109573511
1666,"1,667",The Game,1997,109423648
1667,"1,668",Along With the Gods: The Two Worlds,2017,109393162
1668,"1,669",Billy Elliot,2000,109283018
1669,"1,670",One Flew Over the Cuckoo's Nest,1975,109114987
1670,"1,671",Transporter 3,2008,108979549
1671,"1,672",Earth,2007,108976456
1672,"1,673",The Reader,2008,108902486
1673,"1,674",The Hours,2002,108846217
1674,"1,675",Three Seconds,2017,108624610
1675,"1,676",Sanctum,2010,108609310
1676,"1,677",Arthur and the Invisibles,2006,108605609
1677,"1,678",Cinderella Man,2005,108539911
1678,"1,679",Junior,1994,108431355
1679,"1,680",Terms of Endearment,1983,108423749
1680,"1,681",Confessions of a Shopaholic,2009,108394089
1681,"1,682",The Boxtrolls,2014,108255770
1682,"1,683",Hidalgo,2004,108040622
1683,"1,684",Neighbors 2: Sorority Rising,2016,108007109
1684,"1,685",The American President,1995,107879496
1685,"1,686",Three Kings,1999,107752036
1686,"1,687",Horrible Bosses 2,2014,107645357
1687,"1,688",Shaft,2000,107626125
1688,"1,689",Paul Blart: Mall Cop 2,2015,107588679
1689,"1,690",The Amityville Horror,2005,107516369
1690,"1,691",Harmony,2010,107441543
1691,"1,692",The Texas Chainsaw Massacre,2003,107363905
1692,"1,693",Clifford the Big Red Dog,2021,107347356
1693,"1,694",Vacation,2015,107228221
1694,"1,695",Ace Ventura: Pet Detective,1994,107217396
1695,"1,696",Rising Sun,1993,107198790
1696,"1,697",ParaNorman,2012,107139399
1697,"1,698",The Breakup Guru,2014,106980263
1698,"1,699",Hereafter,2010,106956330
1699,"1,700",Detective Conan: Black Iron Submarine,2023,106771806
1700,"1,701",Nell,1994,106683817
1701,"1,702",Love Story,1970,106550690
1702,"1,703",Made of Honor,2008,106407672
1703,"1,704",Race to Witch Mountain,2009,106387141
1704,"1,705",Chronicles of the Ghostly Tribe,2015,106380000
1705,"1,706",The Whole Nine Yards,2000,106371651
1706,"1,707",Alien,1979,106285522
1707,"1,708",Mr. Holland's Opus,1995,106269971
1708,"1,709",Kramer vs. Kramer,1979,106260000
1709,"1,710",Shaun the Sheep Movie,2015,106215457
1710,"1,711",About Schmidt,2002,105834556
1711,"1,712",Forgetting Sarah Marshall,2008,105833257
1712,"1,713",Life as We Know It,2010,105734416
1713,"1,714",First Man,2018,105713218
1714,"1,715",Planet 51,2009,105647102
1715,"1,716",The Brothers Grimm,2005,105316267
1716,"1,717",Sneakers,1992,105232691
1717,"1,718",Gangster Squad,2013,105200903
1718,"1,719",Along Came a Spider,2001,105178561
1719,"1,720",The Graduate,1967,105015318
1720,"1,721",Sisters,2015,105011053
1721,"1,722",Made in America,1993,104942695
1722,"1,723",Apocalypse Now,1979,104911478
1723,"1,724",The Campaign,2012,104907746
1724,"1,725",Kung Fu Hustle,2004,104882445
1725,"1,726",Training Day,2001,104876233
1726,"1,727",Let the Bullets Fly,2010,104731450
1727,"1,728",Scary Stories to Tell in the Dark,2019,104545505
1728,"1,729",The Hitchhiker's Guide to the Galaxy,2005,104478416
1729,"1,730",Book Club,2018,104438188
1730,"1,731",The Girl with the Dragon Tattoo,2009,104414200
1731,"1,732",Mean Girls,2024,104404248
1732,"1,733",The Tuxedo,2002,104391623
1733,"1,734",T-Rex: Back to the Cretaceous,1998,104384957
1734,"1,735",Halloween Ends,2022,104374176
1735,"1,736",Under Siege 2: Dark Territory,1995,104324083
1736,"1,737",The Creator,2023,104272136
1737,"1,738",The Cell,2000,104155843
1738,"1,739",Little Man,2006,104003322
1739,"1,740",The Water Horse,2007,103967384
1740,"1,741",Wrath of Man,2021,103966489
1741,"1,742",Saw,2004,103911669
1742,"1,743",Snake Eyes,1998,103891409
1743,"1,744",Immortal Demon Slayer,2017,103818506
1744,"1,745",Ouija,2014,103687316
1745,"1,746",Gekijouban Tenpesuto 3D,2011,103540264
1746,"1,747",The Stepford Wives,2004,103370281
1747,"1,748",9 to 5,1980,103303181
1748,"1,749",Rugrats in Paris,2000,103291131
1749,"1,750",Birdman or (The Unexpected Virtue of Ignorance),2014,103215094
1750,"1,751",Cold War 2,2016,103197501
1751,"1,752",She's All That,1999,103166989
1752,"1,753",Guess Who,2005,103121466
1753,"1,754",Mary Poppins,1964,103112920
1754,"1,755",Night School,2018,103105878
1755,"1,756",Transcendence,2014,103039258
1756,"1,757",Jimmy Neutron: Boy Genius,2001,102992536
1757,"1,758",Resident Evil,2002,102984862
1758,"1,759",Working Girl,1988,102953112
1759,"1,760",Jigsaw,2017,102952888
1760,"1,761",Just Like Heaven,2005,102854431
1761,"1,762",The Cable Guy,1996,102825796
1762,"1,763",Love & Other Drugs,2010,102820008
1763,"1,764",Chappie,2015,102811889
1764,"1,765",Project X,2012,102731865
1765,"1,766",Primal Fear,1996,102616183
1766,"1,767",Zombieland,2009,102392080
1767,"1,768",U.S. Marshals,1998,102367405
1768,"1,769",Ghosts of Girlfriends Past,2009,102366815
1769,"1,770",The Wild,2006,102338515
1770,"1,771",Butch Cassidy and the Sundance Kid,1969,102311305
1771,"1,772",Dawn of the Dead,2004,102280154
1772,"1,773",John Q,2002,102244770
1773,"1,774",Railroad Tigers,2016,102205175
1774,"1,775",French Kiss,1995,101982854
1775,"1,776",Heaven Is for Real,2014,101982712
1776,"1,777",Detective Conan: Zero the Enforcer,2018,101860359
1777,"1,778",The Devil Inside,2012,101758490
1778,"1,779",The Nightmare Before Christmas,1993,101692744
1779,"1,780",Timecop,1994,101646581
1780,"1,781",Pineapple Express,2008,101624843
1781,"1,782",Just Married,2003,101564935
1782,"1,783",Miss Congeniality 2: Armed & Fabulous,2005,101393569
1783,"1,784",Mars Attacks!,1996,101381197
1784,"1,785",The Time Traveler's Wife,2009,101344412
1785,"1,786",Fight Club,1999,101320107
1786,"1,787",Stir Crazy,1980,101300000
1787,"1,788",Hitman,2007,101276318
1788,"1,789",The Recruit,2003,101191884
1789,"1,790",The Roundup,2022,101166707
1790,"1,791",Joy,2015,101134059
1791,"1,792",Little Miss Sunshine,2006,101059124
1792,"1,793",Courage Under Fire,1996,100860818
1793,"1,794",My Bloody Valentine,2009,100734718
1794,"1,795",Up Close & Personal,1996,100688705
1795,"1,796","Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,100654149
1796,"1,797",Silent Hill,2006,100605135
1797,"1,798",Ladder 49,2004,100572044
1798,"1,799",Life,2017,100541806
1799,"1,800",Instructions Not Included,2013,100502638
1800,"1,801",Airport,1970,100489151
1801,"1,802",Tammy,2014,100375432
1802,"1,803",PK,2014,100370104
1803,"1,804",Aftershock,2010,100297508
1804,"1,805",The Good Shepherd,2006,100266865
1805,"1,806",Any Given Sunday,1999,100230832
1806,"1,807",Where the Wild Things Are,2009,100140916
1807,"1,808",Philomena,2013,100129872
1808,"1,809",The Continent,2014,100125957
1809,"1,810",Insidious,2011,100106454
1810,"1,811",Nim's Island,2008,100104565
1811,"1,812",Don't Say a Word,2001,100020092
1812,"1,813",Atomic Blonde,2017,100014025
1813,"1,814",Black Mass,2015,99975678
1814,"1,815",The Book of Life,2014,99783556
1815,"1,816",Madame Web,2024,99770186
1816,"1,817",Alpha,2018,99630675
1817,"1,818",Line Walker 2: Invisible Spy,2019,99482027
1818,"1,819","Yo-kai Watch Movie: It's the Secret of Birth, Meow!",2015,99481307
1819,"1,820",Street Fighter,1994,99433436
1820,"1,821",Hellboy,2004,99378985
1821,"1,822",The Lucky One,2012,99357138
1822,"1,823",Shanghai Noon,2000,99274467
1823,"1,824",Nacho Libre,2006,99255460
1824,"1,825",Blue Jasmine,2013,99104804
1825,"1,826",Along With the Gods: The Last 49 Days,2018,99066508
1826,"1,827",Justin Bieber: Never Say Never,2011,99036827
1827,"1,828",Young Detective Dee: Rise of the Sea Dragon,2013,98774891
1828,"1,829",Once Upon a Time in Mexico,2003,98769390
1829,"1,830",Spotlight,2015,98690254
1830,"1,831",Umizaru 3: The Last Message,2010,98663381
1831,"1,832",Bowfinger,1999,98625775
1832,"1,833",Devil and Angel,2015,98599942
1833,"1,834",The Color Purple,1985,98468102
1834,"1,835",The Visit,2015,98450062
1835,"1,836",Crash,2005,98410061
1836,"1,837",Evolution,2001,98376292
1837,"1,838",Riddick,2013,98337295
1838,"1,839",Predator,1987,98268458
1839,"1,840",Sultan,2016,98251790
1840,"1,841",Deep Sea,2006,98230905
1841,"1,842",Killers,2010,98159963
1842,"1,843",The Thin Red Line,1998,98126565
1843,"1,844",Ever After: A Cinderella Story,1998,98005666
1844,"1,845",Paul,2011,97984015
1845,"1,846",Are We There Yet?,2005,97918663
1846,"1,847",Fred Claus,2007,97838349
1847,"1,848",Phone Booth,2003,97837138
1848,"1,849",I Am Sam,2001,97818302
1849,"1,850",A Simple Favor,2018,97644617
1850,"1,851",Safe Haven,2013,97594140
1851,"1,852",The Little Prince,2015,97571250
1852,"1,853",The Woman King,2022,97562514
1853,"1,854",Evil Dead,2013,97542952
1854,"1,855",One Fine Day,1996,97529550
1855,"1,856",42,2013,97510197
1856,"1,857",12.12: The Day,2023,97476565
1857,"1,858",The Hustle,2019,97409779
1858,"1,859",Scream 4,2011,97231420
1859,"1,860",Jarhead,2005,97076152
1860,"1,861",Legend of the Demon Cat,2017,97051623
1861,"1,862",Rush,2013,96992516
1862,"1,863",Enemy at the Gates,2001,96976270
1863,"1,864",The Shack,2017,96942115
1864,"1,865",Star Trek VI: The Undiscovered Country,1991,96888996
1865,"1,866",Boonie Bears: The Big Shrink,2018,96845907
1866,"1,867",The Butterfly Effect,2004,96822421
1867,"1,868",The Jewel of the Nile,1985,96773200
1868,"1,869",Steel Magnolias,1989,96759512
1869,"1,870",Old Dogs,2009,96753696
1870,"1,871",8MM,1999,96618699
1871,"1,872",Christmas with the Kranks,2004,96593018
1872,"1,873",The Rite,2011,96560591
1873,"1,874",13 Going on 30,2004,96458118
1874,"1,875",Vicky Cristina Barcelona,2008,96409830
1875,"1,876",Cinderella,1950,96383330
1876,"1,877",Contraband,2012,96262212
1877,"1,878",Red Eye,2005,96258201
1878,"1,879",Kick-Ass,2010,96188903
1879,"1,880",The Tigger Movie,2000,96159800
1880,"1,881",Assassination,2015,96119773
1881,"1,882",The Manchurian Candidate,2004,96105910
1882,"1,883",The 6th Day,2000,96085477
1883,"1,884",Think Like a Man,2012,96070507
1884,"1,885",Dolphin Tale,2011,95943453
1885,"1,886",The Favourite,2018,95918706
1886,"1,887",TMNT,2007,95802916
1887,"1,888",Be Cool,2005,95763716
1888,"1,889",Some Like It Hot,2016,95721752
1889,"1,890",My Sister's Keeper,2009,95714875
1890,"1,891",Underworld,2003,95708457
1891,"1,892",Shooter,2007,95696996
1892,"1,893",The New King of Comedy,2019,95618308
1893,"1,894",Argylle,2024,95505097
1894,"1,895",Arthur,1981,95461682
1895,"1,896",Poltergeist,2015,95437994
1896,"1,897",The Mortal Instruments: City of Bones,2013,95396573
1897,"1,898",Detective Conan: The Scarlet Bullet,2021,95371578
1898,"1,899",Truth or Dare,2018,95330710
1899,"1,900",40 Days and 40 Nights,2002,95146283
1900,"1,901",Adoring,2019,94975692
1901,"1,902",The Guardian,2006,94973540
1902,"1,903",Changing Lanes,2002,94935764
1903,"1,904",HouseSitter,1992,94900635
1904,"1,905",Kill Mobile,2018,94870905
1905,"1,906",The Wedding Planner,2001,94728529
1906,"1,907",I Feel Pretty,2018,94539879
1907,"1,908",Veteran,2015,94393020
1908,"1,909",In the Heart of the Sea,2015,94320758
1909,"1,910",Masquerade,2012,94268432
1910,"1,911",Police Story: Lockdown,2013,94249025
1911,"1,912",Fleet of Time,2014,94244191
1912,"1,913",The River Wild,1994,94216343
1913,"1,914",Dirty Grandpa,2016,94073028
1914,"1,915",Ben-Hur,2016,94061311
1915,"1,916",Blockers,2018,94019120
1916,"1,917",The Skeleton Key,2005,93983911
1917,"1,918",Syriana,2005,93974620
1918,"1,919",Speed Racer,2008,93945766
1919,"1,920",Lady and the Tramp,1955,93933673
1920,"1,921",Forces of Nature,1999,93900680
1921,"1,922",Evangelion: 3.0+1.01 Thrice Upon a Time,2021,93882453
1922,"1,923",The Man from Macau,2014,93864936
1923,"1,924",Nothing to Declare,2011,93811164
1924,"1,925",Jojo Rabbit,2019,93662741
1925,"1,926",Kill Zone 2,2015,93638358
1926,"1,927",The Lovely Bones,2009,93621340
1927,"1,928",The Internship,2013,93492844
1928,"1,929",BlacKkKlansman,2018,93413709
1929,"1,930",Calendar Girls,2003,93401012
1930,"1,931",Goosebumps 2: Haunted Halloween,2018,93320380
1931,"1,932",Money Monster,2016,93282604
1932,"1,933",When Harry Met Sally...,1989,93274466
1933,"1,934",Nanny McPhee Returns,2010,93251121
1934,"1,935",Legal Eagles,1986,93151591
1935,"1,936",Mercury Rising,1998,93107289
1936,"1,937",Michael Clayton,2007,92991835
1937,"1,938",Deuce Bigalow: Male Gigolo,1999,92938755
1938,"1,939",Flashdance,1983,92921203
1939,"1,940",Secret Window,2004,92913171
1940,"1,941",The Family Stone,2005,92884429
1941,"1,942",Animal,2023,92870227
1942,"1,943",House of Flying Daggers,2004,92863945
1943,"1,944",Train to Busan,2016,92767524
1944,"1,945",Downton Abbey: A New Era,2022,92651384
1945,"1,946",Role Models,2008,92649419
1946,"1,947",No Reservations,2007,92601050
1947,"1,948",Five Feet Apart,2019,92559910
1948,"1,949",1941,1979,92455742
1949,"1,950",Four Brothers,2005,92374674
1950,"1,951",Talk to Me,2023,92181735
1951,"1,952",Downfall,2004,92181574
1952,"1,953",Underworld: Rise of the Lycans,2009,92158961
1953,"1,954",The Parent Trap,1998,92146310
1954,"1,955",Fracture,2007,92011561
1955,"1,956","I Love You, Man",2009,91980359
1956,"1,957",Southpaw,2015,91970827
1957,"1,958",Brave Hearts: Umizaru,2012,91884352
1958,"1,959",End Game,2021,91824961
1959,"1,960",Behind Enemy Lines,2001,91753202
1960,"1,961",Get Him to the Greek,2010,91720255
1961,"1,962",Shadow,2018,91708374
1962,"1,963",Season of the Witch,2011,91627228
1963,"1,964",Crawl,2019,91542097
1964,"1,965",Friday the 13th,2009,91509154
1965,"1,966",Rambo: Last Blood,2019,91490353
1966,"1,967",Back to School,1986,91258000
1967,"1,968",Overboard,2018,91244913
1968,"1,969",White Noise,2005,91196419
1969,"1,970",The Karate Kid,1984,91121582
1970,"1,971",Romeo Must Die,2000,91036760
1971,"1,972",Final Destination 2,2003,90941129
1972,"1,973",Paranormal Activity: The Marked Ones,2014,90894962
1973,"1,974",Fantasia 2000,2000,90874570
1974,"1,975",Drag Me to Hell,2009,90843550
1975,"1,976",Racing Stripes,2005,90754475
1976,"1,977",White Men Can't Jump,1992,90753806
1977,"1,978",Autumn in New York,2000,90726668
1978,"1,979",Anchorman: The Legend of Ron Burgundy,2004,90710375
1979,"1,980",Galaxy Quest,1999,90683916
1980,"1,981",My Big Fat Greek Wedding 2,2016,90632641
1981,"1,982",The Abyss,1989,90520202
1982,"1,983",Madea Goes to Jail,2009,90508336
1983,"1,984",Sherlock Gnomes,2018,90497778
1984,"1,985",Bring It On,2000,90449929
1985,"1,986",Trading Places,1983,90404800
1986,"1,987",Bedazzled,2000,90383208
1987,"1,988",Red Riding Hood,2011,90260376
1988,"1,989",Identity,2003,90259536
1989,"1,990",Old,2021,90146510
1990,"1,991",Air,2023,90060106
1991,"1,992",Detective Dee: The Four Heavenly Kings,2018,90040771
1992,"1,993",Sucker Punch,2011,89792502
